Row 001:  | Not updated yet |  |  |  |  |  |  |  |  |  |  | Last month's |  |  |  | 
Row 002:  |  | eventid | Event Name | Unit | Reward value: PP | Reward value: BP | Total reward value |  |  |  |  | Reward value: PP | Reward value: BP | Total reward value |  | 
Row 005: SUMMARY |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 007:  | Monthly |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 008:  |  | PC & M regular |  | BP | 33155205142378 | 15330000000000 | 48485205142378 | 0.3161789242 |  |  |  | 12808348210.0 | 10106263451.0 | 22914611660.0 | 0.44 | 
Row 009:  |  |  | PC REGULAR | BP | 28938840472888 | 14250000000000 | 43188840472888 | 0.3299463436 |  |  |  | 11599992916.0 | 9750023689.0 | 21350016604.0 | 0.46 | 
Row 010:  |  |  | Mobile | BP | 4216364669490 | 1080000000000 | 5296364669490 | 0.2039134515 |  |  |  | 1208355294.0 | 356239762.0 | 1564595056.0 | 0.23 | 
Row 011:  |  | PC & M + Web |  | BP | 4741370000000000.0 | 15330000000000 | 4756700000000000.0 | 0.003222819254 |  |  |  | 61848443711.0 | 34225464255.0 | 96073907965.0 | 0.36 | 
Row 012:  |  |  | Web | BP | 4708220000000000.0 | 0 | 4708220000000000.0 | 0 |  |  |  | 49040095501.0 | 24119200804.0 | 73159296305.0 | 0.33 | 
Row 013:  |  | PC & M + Web + SVIP |  | BP | 4770900000000000.0 | 22130000000000 | 4793030000000000.0 | 0.004617116655 |  |  |  | 88778938514.0 | 50810390406.0 | 139589328920.0 | 0.36 | 
Row 014:  |  |  | SVIP | BP | 29529768937248 | 6800000000000 | 36329768937248 | 0.1871743256 |  |  |  | 26930494804.0 | 16584926151.0 | 43515420955.0 | 0.38 | 
Row 016:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 017:  |  | PC & M regular |  | BP | 1069522746528 | 494516129032 | 1564038875561 |  |  |  |  | 413172523.0 | 326008498.0 | 739181021.0 |  | 
Row 018:  |  |  | PC REGULAR | BP | 933510982996 | 459677419355 | 1393188402351 |  |  |  |  | 374193320.0 | 314516893.0 | 688710213.0 |  | 
Row 019:  |  |  | Mobile | BP | 136011763532 | 34838709677 | 170850473209 |  |  |  |  | 38979203.0 | 11491605.0 | 50470808.0 |  | 
Row 020:  |  | PC & M + Web |  | BP | 152947576050501 | 494516129032 | 153442092179533 |  |  |  |  | 1995111087.0 | 1104047234.0 | 3099158321.0 |  | 
Row 021:  |  |  | Web | BP | 151878053303973 | 0 | 151878053303973 |  |  |  |  | 1581938565.0 | 778038736.0 | 2359977300.0 |  | 
Row 022:  |  | PC & M + Web + SVIP |  | BP | 153900149242025 | 713870967742 | 154614020209767 |  |  |  |  | 2863836726.0 | 1639044852.0 | 4502881578.0 |  | 
Row 023:  |  |  | SVIP | BP | 952573191524 | 219354838710 | 1171928030234 |  |  |  |  | 868725639.0 | 534997618.0 | 1403723257.0 |  | 
Row 025:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 026:  |  | PC & M regular |  | USD | 0.329652676 | 0.1524217842 | 0.4820744602 |  |  |  |  | 0.39 | 0.3 | 0.69 |  | 
Row 027:  |  |  | PC REGULAR | USD | 0.2877305739 | 0.1416836546 | 0.4294142284 |  |  |  |  | 0.35 | 0.29 | 0.64 |  | 
Row 028:  |  |  | Mobile | USD | 0.04192210214 | 0.01073812961 | 0.05266023175 |  |  |  |  | 0.04 | 0.01 | 0.05 |  | 
Row 029:  |  | PC & M + Web |  | USD | 47.14212755 | 0.1524217842 | 47.29454933 |  |  |  |  | 1.87 | 1.03 | 2.9 |  | 
