Row 001:  | Not updated yet |  |  |  |  |  |  |  |  |  |  | Last month's |  |  |  | 
Row 002:  |  | eventid | Event Name | Unit | Reward value: PP | Reward value: BP | Total reward value |  |  |  |  | Reward value: PP | Reward value: BP | Total reward value |  | 
Row 005: SUMMARY |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 007:  | Monthly |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 008:  |  | PC & M regular |  | BP | 57113213705312 | 42411856703643 | 99525070408955 | 0.4261424436 |  |  |  | 12808348210.0 | 10106263451.0 | 22914611660.0 | 0.44 | 
Row 009:  |  |  | PC REGULAR | BP | 48761129271962 | 40911856703643 | 89672985975605 | 0.4562339065 |  |  |  | 11599992916.0 | 9750023689.0 | 21350016604.0 | 0.46 | 
Row 010:  |  |  | Mobile | BP | 8352084433350 | 1500000000000 | 9852084433350 | 0.1522520447 |  |  |  | 1208355294.0 | 356239762.0 | 1564595056.0 | 0.23 | 
Row 011:  |  | PC & M + Web |  | BP | 545949389563543 | 42411856703643 | 588361246267187 | 0.07208472171 |  |  |  | 61848443711.0 | 34225464255.0 | 96073907965.0 | 0.36 | 
Row 012:  |  |  | Web | BP | 488836175858231 | 0 | 488836175858231 | 0 |  |  |  | 49040095501.0 | 24119200804.0 | 73159296305.0 | 0.33 | 
Row 013:  |  | PC & M + Web + SVIP |  | BP | 604549387165424 | 61111856703643 | 665661243869067 | 0.09180624119 |  |  |  | 88778938514.0 | 50810390406.0 | 139589328920.0 | 0.36 | 
Row 014:  |  |  | SVIP | BP | 58599997601880 | 18700000000000 | 77299997601880 | 0.2419146259 |  |  |  | 26930494804.0 | 16584926151.0 | 43515420955.0 | 0.38 | 
Row 016:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 017:  |  | PC & M regular |  | BP | 1842361732429 | 1368124409795 | 3210486142224 |  |  |  |  | 413172523.0 | 326008498.0 | 739181021.0 |  | 
Row 018:  |  |  | PC REGULAR | BP | 1572939653934 | 1319737313021 | 2892676966955 |  |  |  |  | 374193320.0 | 314516893.0 | 688710213.0 |  | 
Row 019:  |  |  | Mobile | BP | 269422078495 | 48387096774 | 317809175269 |  |  |  |  | 38979203.0 | 11491605.0 | 50470808.0 |  | 
Row 020:  |  | PC & M + Web |  | BP | 17611270631082 | 1368124409795 | 18979395040877 |  |  |  |  | 1995111087.0 | 1104047234.0 | 3099158321.0 |  | 
Row 021:  |  |  | Web | BP | 15768908898653 | 0 | 15768908898653 |  |  |  |  | 1581938565.0 | 778038736.0 | 2359977300.0 |  | 
Row 022:  |  | PC & M + Web + SVIP |  | BP | 19501593134369 | 1971350216247 | 21472943350615 |  |  |  |  | 2863836726.0 | 1639044852.0 | 4502881578.0 |  | 
Row 023:  |  |  | SVIP | BP | 1890322503286 | 603225806452 | 2493548309738 |  |  |  |  | 868725639.0 | 534997618.0 | 1403723257.0 |  | 
Row 025:  | Daily |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Row 026:  |  | PC & M regular |  | USD | 0.2282607647 | 0.1695047821 | 0.3977655467 |  |  |  |  | 0.39 | 0.3 | 0.69 |  | 
Row 027:  |  |  | PC REGULAR | USD | 0.1948805177 | 0.1635098271 | 0.3583903447 |  |  |  |  | 0.35 | 0.29 | 0.64 |  | 
Row 028:  |  |  | Mobile | USD | 0.03338024698 | 0.005994955017 | 0.039375202 |  |  |  |  | 0.04 | 0.01 | 0.05 |  | 
Row 029:  |  | PC & M + Web |  | USD | 2.181961354 | 0.1695047821 | 2.351466137 |  |  |  |  | 1.87 | 1.03 | 2.9 |  | 
